seq_id,print_id,tile_id,saturated,centroids
32,SI266220200309225433,0,0,"[{""x"": 345.1066925315228, ""y"": 335.93598448108634, ""count"": 6186}, {""x"": 475.0742467718795, ""y"": 344.0256456241033, ""count"": 5576}]"
33,SI266220200309225433,1,0,"[{""x"": 345.5271597804103, ""y"": 52.36333429644611, ""count"": 6922}, {""x"": 345.67431392478585, ""y"": 268.48308407143895, ""count"": 6887}, {""x"": 341.49404983265157, ""y"": 478.1390851617702, ""count"": 5378}, {""x"": 474.51395089285717, ""y"": 472.36300223214283, ""count"": 3584}, {""x"": 474.6117468865702, ""y"": 276.3820262537866, ""count"": 5942}, {""x"": 474.6136054421769, ""y"": 60.38469387755102, ""count"": 5880}]"
34,SI266220200309225433,2,0,"[{""x"": 345.8083815436715, ""y"": 200.442923663045, ""count"": 7087}, {""x"": 344.8914442162902, ""y"": 416.7522245037645, ""count"": 7305}, {""x"": 361.8355217691776, ""y"": 10.662750518313752, ""count"": 1447}, {""x"": 473.8543313437651, ""y"": 425.2937570575899, ""count"": 6199}, {""x"": 473.958901910419, ""y"": 208.18751003371327, ""count"": 6229}, {""x"": 474.76305379746833, ""y"": 21.703322784810126, ""count"": 2528}]"
35,SI266220200309225433,3,1253,"[{""x"": 342.082454349552, ""y"": 132.95860269933084, ""count"": 8817}, {""x"": 471.6123060168799, ""y"": 140.67301933024774, ""count"": 7346}]"
36,SI266220200309225433,4,0,"[{""x"": 22.639524647887324, ""y"": 344.28345070422534, ""count"": 4544}, {""x"": 237.1490024055469, ""y"": 336.01683882835715, ""count"": 7067}, {""x"": 396.92468499427264, ""y"": 344.2249904543719, ""count"": 10476}]"
37,SI266220200309225433,5,0,"[{""x"": 23.50154289240897, ""y"": 60.45217033532195, ""count"": 4861}, {""x"": 23.512343180898423, ""y"": 276.800283286119, ""count"": 4942}, {""x"": 23.266460905349795, ""y"": 472.69890260631, ""count"": 2916}, {""x"": 237.79448117275078, ""y"": 268.06898534061514, ""count"": 6958}, {""x"": 233.48709677419356, ""y"": 478.2089605734767, ""count"": 5580}, {""x"": 237.79013812564978, ""y"": 52.26125055695827, ""count"": 6733}, {""x"": 396.6027194524096, ""y"": 276.6246415687726, ""count"": 10811}, {""x"": 396.7554974627095, ""y"": 471.7145932646471, ""count"": 6503}, {""x"": 396.90414258188827, ""y"": 60.257803468208095, ""count"": 10380}]"
38,SI266220200309225433,6,0,"[{""x"": 23.84506376948512, ""y"": 21.704770902220123, ""count"": 2117}, {""x"": 24.117000771010023, ""y"": 209.84213569776406, ""count"": 5188}, {""x"": 23.853743470690656, ""y"": 425.59953569355775, ""count"": 5169}, {""x"": 237.5159084566006, ""y"": 416.8349148758024, ""count"": 7166}, {""x"": 237.6857476635514, ""y"": 200.82038551401868, ""count"": 6848}, {""x"": 253.46252402306214, ""y"": 10.643177450352338, ""count"": 1561}, {""x"": 396.2494122675785, ""y"": 21.976063261380638, ""count"": 4679}, {""x"": 396.52258660508085, ""y"": 425.29108545034643, ""count"": 10825}, {""x"": 397.0955641272903, ""y"": 208.6122468659595, ""count"": 10370}]"
39,SI266220200309225433,7,113,"[{""x"": 24.392046486290177, ""y"": 142.673143272199, ""count"": 5507}, {""x"": 236.8362056886647, ""y"": 133.067675493905, ""count"": 7137}, {""x"": 396.15394736842103, ""y"": 140.934492481203, ""count"": 10640}]"
40,SI266220200309225433,8,0,"[{""x"": 129.51474330190092, ""y"": 335.95030684029336, ""count"": 6681}, {""x"": 296.92331047992167, ""y"": 344.043388834476, ""count"": 10210}, {""x"": 479.2949152542373, ""y"": 336.2857142857143, ""count"": 2065}]"
41,SI266220200309225433,9,0,"[{""x"": 129.6957656612529, ""y"": 52.30597447795824, ""count"": 6896}, {""x"": 129.5888558692422, ""y"": 268.2962852897474, ""count"": 6730}, {""x"": 125.80273037542662, ""y"": 477.17713310580206, ""count"": 5860}, {""x"": 296.8200981807681, ""y"": 60.32120512080085, ""count"": 10389}, {""x"": 296.76305594297224, ""y"": 472.05082907174955, ""count"": 6453}, {""x"": 297.0362978182174, ""y"": 276.214460424616, ""count"": 10221}, {""x"": 479.49599198396794, ""y"": 268.1002004008016, ""count"": 1996}, {""x"": 478.26952141057933, ""y"": 483.24080604534004, ""count"": 1985}, {""x"": 479.88894792773647, ""y"": 52.316684378320936, ""count"": 1882}]"
42,SI266220200309225433,10,0,"[{""x"": 128.67321657411364, ""y"": 200.60771749964402, ""count"": 7023}, {""x"": 129.43856304985337, ""y"": 416.7300586510264, ""count"": 6820}, {""x"": 142.03589177250137, ""y"": 11.024848150193263, ""count"": 1811}, {""x"": 296.6586839266451, ""y"": 22.05393743257821, ""count"": 4635}, {""x"": 296.9309806979918, ""y"": 208.62663287190486, ""count"": 10258}, {""x"": 296.96545667447305, ""y"": 424.66569086651054, ""count"": 10248}, {""x"": 478.92926829268293, ""y"": 200.390243902439, ""count"": 2050}, {""x"": 479.55929648241204, ""y"": 416.65577889447235, ""count"": 1990}, {""x"": 494.57471264367814, ""y"": 4.649425287356322, ""count"": 174}]"
43,SI266220200309225433,11,0,"[{""x"": 129.80161634644708, ""y"": 132.60323269289418, ""count"": 6558}, {""x"": 296.8665806963595, ""y"": 140.8294812022617, ""count"": 10081}, {""x"": 479.55040322580646, ""y"": 132.7741935483871, ""count"": 1984}]"
44,SI266220200309225433,12,0,"[{""x"": 37.638888888888886, ""y"": 336.2105672105672, ""count"": 5148}, {""x"": 196.52592049825975, ""y"": 343.97233925627404, ""count"": 10918}]"
45,SI266220200309225433,13,0,"[{""x"": 37.28346782536727, ""y"": 52.45851438030209, ""count"": 4833}, {""x"": 37.52533650039588, ""y"": 268.68428345209816, ""count"": 5052}, {""x"": 36.45681876772364, ""y"": 475.37819025522043, ""count"": 3879}, {""x"": 196.39479052251687, ""y"": 472.20398556409856, ""count"": 6373}, {""x"": 197.00583203732504, ""y"": 276.5719284603421, ""count"": 10288}, {""x"": 196.7145429085817, ""y"": 60.409081816363276, ""count"": 9998}]"
46,SI266220200309225433,14,0,"[{""x"": 39.78487614080834, ""y"": 11.415906127770535, ""count"": 1534}, {""x"": 37.21914509331728, ""y"": 200.87617900862935, ""count"": 4983}, {""x"": 37.382182182182184, ""y"": 416.8872872872873, ""count"": 4995}, {""x"": 197.42370661427637, ""y"": 21.98253656406898, ""count"": 4581}, {""x"": 196.9855694227769, ""y"": 208.6469383775351, ""count"": 10256}, {""x"": 197.01706384230656, ""y"": 424.97587525742864, ""count"": 10197}]"
47,SI266220200309225433,15,0,"[{""x"": 37.23052013762396, ""y"": 132.94130742764622, ""count"": 4941}, {""x"": 196.63586691384526, ""y"": 141.1270367840765, ""count"": 10249}]"
48,SI266220200309225433,0,0,"[{""x"": 346.761066084788, ""y"": 335.5303927680798, ""count"": 6416}, {""x"": 474.83456140350876, ""y"": 343.23543859649124, ""count"": 5700}]"
