seq_id,print_id,tile_id,saturated
0,SI266220200309225433,0,0
1,SI266220200309225433,1,0
2,SI266220200309225433,2,0
3,SI266220200309225433,3,5639
4,SI266220200309225433,4,668
5,SI266220200309225433,5,0
6,SI266220200309225433,6,0
7,SI266220200309225433,7,4555
8,SI266220200309225433,8,0
9,SI266220200309225433,9,1712
10,SI266220200309225433,10,787
11,SI266220200309225433,11,0
12,SI266220200309225433,12,5
13,SI266220200309225433,13,0
14,SI266220200309225433,14,0
15,SI266220200309225433,15,0
16,SI266220200309225433,0,0
17,SI266220200309225433,1,0
18,SI266220200309225433,2,0
19,SI266220200309225433,3,348
20,SI266220200309225433,4,0
21,SI266220200309225433,5,0
22,SI266220200309225433,6,0
23,SI266220200309225433,7,298
24,SI266220200309225433,8,0
25,SI266220200309225433,9,0
26,SI266220200309225433,10,0
27,SI266220200309225433,11,0
28,SI266220200309225433,12,0
29,SI266220200309225433,13,0
30,SI266220200309225433,14,0
31,SI266220200309225433,15,0
32,SI266220200309225433,0,0
33,SI266220200309225433,1,0
34,SI266220200309225433,2,0
35,SI266220200309225433,3,1253
36,SI266220200309225433,4,0
37,SI266220200309225433,5,0
38,SI266220200309225433,6,0
39,SI266220200309225433,7,113
40,SI266220200309225433,8,0
41,SI266220200309225433,9,0
42,SI266220200309225433,10,0
43,SI266220200309225433,11,0
44,SI266220200309225433,12,0
45,SI266220200309225433,13,0
46,SI266220200309225433,14,0
47,SI266220200309225433,15,0
48,SI266220200309225433,0,0
49,SI266220200309225433,1,0
50,SI266220200309225433,2,77
51,SI266220200309225433,3,6667
52,SI266220200309225433,4,0
53,SI266220200309225433,5,129
54,SI266220200309225433,6,0
55,SI266220200309225433,7,2895
56,SI266220200309225433,8,0
57,SI266220200309225433,9,358
58,SI266220200309225433,10,4
59,SI266220200309225433,11,0
60,SI266220200309225433,12,0
61,SI266220200309225433,13,0
62,SI266220200309225433,14,0
63,SI266220200309225433,15,0
64,SI266220200309225433,0,0
65,SI266220200309225433,1,0
66,SI266220200309225433,2,0
67,SI266220200309225433,3,268
